"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20362","login test","chromium","2026-09-09","failed","2026-09-09","","login.spec.ts","",""
"","12460","login test","firefox","2026-09-09","failed","2026-09-09","","login.spec.ts","",""
